epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6304,1.49412,1.6035,1.28545,0.406,0.31464,0.23436,0.13792,1.44593,1.56968,1.29766,0.069383,0.00266235,0.00266235
2,184.773,1.45357,1.3864,1.28346,0.37228,0.44555,0.34984,0.22257,1.38538,1.27673,1.25584,0.0386635,0.00527626,0.00527626
3,275.261,1.39604,1.29169,1.25733,0.50636,0.42025,0.36601,0.23973,1.38096,1.27092,1.27239,0.00789131,0.00783737,0.00783737
4,365.37,1.37753,1.20113,1.25049,0.42842,0.49511,0.43924,0.29141,1.30953,1.07639,1.21861,0.0077624,0.0077624,0.0077624
5,455.595,1.33181,1.14677,1.21511,0.48476,0.52685,0.46828,0.31366,1.28543,1.07887,1.21639,0.0076832,0.0076832,0.0076832
6,545.878,1.31792,1.09397,1.21963,0.4867,0.60049,0.54426,0.3633,1.29829,1.01592,1.2195,0.007604,0.007604,0.007604
7,636.05,1.29787,1.06851,1.20911,0.53568,0.5814,0.56471,0.38561,1.27396,0.99462,1.19695,0.0075248,0.0075248,0.0075248
8,726.352,1.29235,1.02954,1.2012,0.59899,0.58511,0.56076,0.37709,1.27753,0.99377,1.19944,0.0074456,0.0074456,0.0074456
9,816.436,1.28047,1.01246,1.19587,0.67945,0.59616,0.62367,0.43159,1.24751,0.94192,1.1879,0.0073664,0.0073664,0.0073664
10,906.606,1.2697,0.96314,1.18979,0.6657,0.60168,0.65363,0.44669,1.24464,0.89371,1.17728,0.0072872,0.0072872,0.0072872
11,996.936,1.26543,0.96063,1.18045,0.70165,0.63112,0.69733,0.48213,1.22934,0.90264,1.17114,0.007208,0.007208,0.007208
12,1087.17,1.23206,0.92562,1.17327,0.63986,0.65176,0.69207,0.47778,1.23527,0.88183,1.1872,0.0071288,0.0071288,0.0071288
13,1177.43,1.24906,0.92318,1.17473,0.74718,0.66711,0.73854,0.51317,1.22603,0.86157,1.17225,0.0070496,0.0070496,0.0070496
14,1267.67,1.228,0.88543,1.16698,0.67037,0.69007,0.7253,0.5003,1.27849,0.8444,1.1984,0.0069704,0.0069704,0.0069704
15,1357.93,1.23144,0.87898,1.16637,0.7273,0.71144,0.76647,0.53327,1.21551,0.81676,1.16692,0.0068912,0.0068912,0.0068912
16,1448.26,1.20855,0.84497,1.1635,0.755,0.71443,0.7908,0.55163,1.211,0.8037,1.16609,0.006812,0.006812,0.006812
17,1538.36,1.20866,0.83832,1.16164,0.7361,0.74583,0.79576,0.55749,1.19796,0.78763,1.14988,0.0067328,0.0067328,0.0067328
18,1628.52,1.19762,0.83055,1.15142,0.74861,0.73882,0.78598,0.55411,1.20559,0.77144,1.1586,0.0066536,0.0066536,0.0066536
19,1718.63,1.19512,0.83692,1.1507,0.77119,0.71604,0.80307,0.56266,1.18482,0.78744,1.14761,0.0065744,0.0065744,0.0065744
20,1808.81,1.19288,0.81365,1.15404,0.77524,0.76318,0.82444,0.57612,1.20446,0.76069,1.15339,0.0064952,0.0064952,0.0064952
21,1899.15,1.1779,0.79306,1.14362,0.7619,0.7914,0.82325,0.58037,1.20346,0.74279,1.1568,0.006416,0.006416,0.006416
22,1989.4,1.18484,0.79496,1.13922,0.80569,0.78254,0.83792,0.58677,1.1997,0.73176,1.15493,0.0063368,0.0063368,0.0063368
23,2079.51,1.16668,0.77111,1.13583,0.81183,0.77079,0.84503,0.59791,1.16857,0.72525,1.14344,0.0062576,0.0062576,0.0062576
24,2169.66,1.15292,0.75715,1.12958,0.8152,0.77539,0.83729,0.59637,1.18447,0.72462,1.15027,0.0061784,0.0061784,0.0061784
25,2259.63,1.16255,0.75605,1.13344,0.76263,0.80396,0.83563,0.59211,1.17264,0.69817,1.14657,0.0060992,0.0060992,0.0060992
26,2349.79,1.15952,0.75215,1.12956,0.84347,0.79703,0.86204,0.62183,1.16066,0.69347,1.13736,0.00602,0.00602,0.00602
27,2440,1.14095,0.73673,1.12259,0.81932,0.79105,0.85847,0.60922,1.15518,0.68334,1.13304,0.0059408,0.0059408,0.0059408
28,2530.03,1.14465,0.73587,1.11528,0.83484,0.8136,0.87623,0.62936,1.14485,0.67631,1.12593,0.0058616,0.0058616,0.0058616
29,2620.24,1.12697,0.71783,1.10578,0.8433,0.8179,0.87279,0.63118,1.1456,0.65605,1.12445,0.0057824,0.0057824,0.0057824
30,2710.31,1.13455,0.71393,1.11992,0.84763,0.79073,0.86488,0.62141,1.17533,0.66821,1.13471,0.0057032,0.0057032,0.0057032
31,2800.32,1.12711,0.70177,1.1109,0.83626,0.82234,0.88376,0.63046,1.17921,0.67252,1.13888,0.005624,0.005624,0.005624
32,2890.49,1.12842,0.70241,1.11166,0.83951,0.80819,0.8702,0.62002,1.16133,0.6903,1.13296,0.0055448,0.0055448,0.0055448
33,2980.53,1.12391,0.71277,1.10975,0.84889,0.80193,0.88056,0.63187,1.13392,0.67215,1.12439,0.0054656,0.0054656,0.0054656
34,3070.72,1.12478,0.70309,1.11256,0.8588,0.79725,0.87549,0.63559,1.14007,0.64201,1.13133,0.0053864,0.0053864,0.0053864
35,3160.84,1.10203,0.68819,1.09716,0.84356,0.82245,0.87985,0.63155,1.13797,0.65642,1.1213,0.0053072,0.0053072,0.0053072
36,3251.06,1.12254,0.69068,1.1099,0.86496,0.81138,0.89102,0.64342,1.14154,0.6394,1.12187,0.005228,0.005228,0.005228
37,3341.24,1.10199,0.68021,1.10446,0.85326,0.82778,0.88777,0.64847,1.13582,0.63882,1.1216,0.0051488,0.0051488,0.0051488
38,3431.43,1.09621,0.66935,1.09222,0.86441,0.84724,0.89784,0.65912,1.12012,0.6113,1.11533,0.0050696,0.0050696,0.0050696
39,3521.63,1.09406,0.66903,1.09297,0.85993,0.82972,0.89484,0.65795,1.12488,0.63073,1.11866,0.0049904,0.0049904,0.0049904
40,3611.71,1.09686,0.66558,1.09436,0.87331,0.85584,0.91012,0.66648,1.12597,0.61566,1.12007,0.0049112,0.0049112,0.0049112
41,3701.89,1.06561,0.64646,1.0794,0.86592,0.85982,0.90671,0.66485,1.11004,0.60699,1.10524,0.004832,0.004832,0.004832
42,3791.93,1.07755,0.65436,1.09138,0.84465,0.82567,0.89432,0.6629,1.11628,0.6159,1.11786,0.0047528,0.0047528,0.0047528
43,3881.9,1.09782,0.65963,1.09479,0.85324,0.84075,0.89438,0.65185,1.12368,0.61108,1.11674,0.0046736,0.0046736,0.0046736
44,3971.95,1.08072,0.64936,1.09458,0.87463,0.86823,0.90864,0.6668,1.12562,0.60567,1.11412,0.0045944,0.0045944,0.0045944
45,4062.13,1.07108,0.63058,1.08386,0.88176,0.86782,0.91584,0.66901,1.11397,0.59584,1.10868,0.0045152,0.0045152,0.0045152
46,4152.26,1.06171,0.63063,1.07778,0.88869,0.82726,0.90725,0.66236,1.12744,0.6042,1.10969,0.004436,0.004436,0.004436
47,4242.27,1.06295,0.62206,1.08252,0.8737,0.85984,0.91316,0.66563,1.11753,0.60214,1.11497,0.0043568,0.0043568,0.0043568
48,4332.32,1.06084,0.60866,1.07698,0.8584,0.87566,0.91979,0.6777,1.1259,0.58423,1.11536,0.0042776,0.0042776,0.0042776
49,4422.59,1.06094,0.62172,1.07996,0.89533,0.86378,0.92229,0.6779,1.10573,0.58172,1.10276,0.0041984,0.0041984,0.0041984
50,4512.82,1.05583,0.61663,1.07331,0.88637,0.85354,0.91376,0.67574,1.10403,0.58959,1.10357,0.0041192,0.0041192,0.0041192
51,4602.76,1.05943,0.6187,1.08136,0.88406,0.8682,0.92214,0.67927,1.10551,0.5967,1.10403,0.00404,0.00404,0.00404
52,4692.95,1.05171,0.60501,1.06794,0.88982,0.86529,0.92376,0.68561,1.09847,0.57119,1.10328,0.0039608,0.0039608,0.0039608
53,4783.19,1.04132,0.60607,1.06611,0.88169,0.87285,0.92269,0.67982,1.10373,0.56864,1.10639,0.0038816,0.0038816,0.0038816
54,4873.18,1.04145,0.59629,1.07013,0.89813,0.86332,0.92429,0.68292,1.10123,0.56335,1.10333,0.0038024,0.0038024,0.0038024
55,4963.16,1.04159,0.59328,1.06547,0.87686,0.87582,0.92744,0.68423,1.10822,0.58461,1.10652,0.0037232,0.0037232,0.0037232
56,5053.24,1.03371,0.58926,1.06093,0.87606,0.87046,0.92108,0.67908,1.11444,0.57964,1.10256,0.003644,0.003644,0.003644
57,5143.39,1.03472,0.58509,1.06677,0.88001,0.89456,0.93281,0.69068,1.09829,0.56068,1.09639,0.0035648,0.0035648,0.0035648
58,5233.54,1.02654,0.58171,1.0561,0.87808,0.8775,0.93071,0.69195,1.09558,0.55205,1.09707,0.0034856,0.0034856,0.0034856
59,5323.63,1.02106,0.57877,1.05522,0.89888,0.87251,0.93188,0.69604,1.08835,0.55456,1.09378,0.0034064,0.0034064,0.0034064
60,5413.72,1.01985,0.58191,1.05684,0.87768,0.88803,0.92705,0.68594,1.09753,0.56201,1.09866,0.0033272,0.0033272,0.0033272
61,5503.79,1.02122,0.57023,1.06324,0.90262,0.88046,0.93446,0.70081,1.08503,0.55063,1.09297,0.003248,0.003248,0.003248
62,5593.81,1.02057,0.56874,1.05854,0.89791,0.87754,0.93599,0.69982,1.0861,0.54143,1.09207,0.0031688,0.0031688,0.0031688
63,5683.93,0.99738,0.55668,1.04212,0.88213,0.88808,0.93251,0.69514,1.08493,0.55965,1.09624,0.0030896,0.0030896,0.0030896
64,5773.87,1.01039,0.56302,1.054,0.9009,0.88848,0.94237,0.70948,1.0767,0.53538,1.09366,0.0030104,0.0030104,0.0030104
65,5864,1.00642,0.55464,1.04722,0.89336,0.88475,0.93254,0.69881,1.08135,0.54474,1.09359,0.0029312,0.0029312,0.0029312
66,5954.21,0.99659,0.54654,1.04412,0.90138,0.87594,0.93534,0.70163,1.08321,0.5404,1.09222,0.002852,0.002852,0.002852
67,6044.24,1.0036,0.55482,1.0484,0.89333,0.88713,0.93672,0.70188,1.08086,0.53666,1.09415,0.0027728,0.0027728,0.0027728
68,6134.3,0.99883,0.54746,1.04549,0.90519,0.90697,0.94355,0.70759,1.08316,0.53491,1.09067,0.0026936,0.0026936,0.0026936
69,6224.43,0.98008,0.53634,1.0329,0.89591,0.90125,0.9426,0.70887,1.07385,0.53063,1.08893,0.0026144,0.0026144,0.0026144
70,6314.65,0.97498,0.53965,1.03648,0.90212,0.8875,0.93762,0.70484,1.07073,0.53275,1.08779,0.0025352,0.0025352,0.0025352
71,6404.78,0.98467,0.53546,1.04031,0.89776,0.9077,0.94288,0.71081,1.07504,0.52317,1.09311,0.002456,0.002456,0.002456
72,6494.9,0.98264,0.53244,1.04684,0.8741,0.91559,0.94221,0.71283,1.07243,0.5247,1.08965,0.0023768,0.0023768,0.0023768
73,6584.96,0.97452,0.52868,1.03574,0.92052,0.87497,0.9396,0.70586,1.07529,0.52435,1.088,0.0022976,0.0022976,0.0022976
74,6675.06,0.98043,0.53025,1.03393,0.91413,0.88486,0.94221,0.70842,1.07397,0.52493,1.08608,0.0022184,0.0022184,0.0022184
75,6765.2,0.96938,0.5239,1.02958,0.89718,0.89102,0.94146,0.70763,1.0654,0.52503,1.08543,0.0021392,0.0021392,0.0021392
76,6855.24,0.9688,0.52033,1.03279,0.90724,0.89593,0.94608,0.71234,1.0736,0.52227,1.08682,0.00206,0.00206,0.00206
77,6945.34,0.95473,0.51842,1.02838,0.88248,0.91755,0.9448,0.71649,1.06424,0.51296,1.0884,0.0019808,0.0019808,0.0019808
78,7035.47,0.95919,0.51715,1.02591,0.91887,0.89232,0.94527,0.71549,1.07025,0.51343,1.08795,0.0019016,0.0019016,0.0019016
79,7125.53,0.95058,0.51309,1.02875,0.90785,0.90343,0.94666,0.7114,1.07393,0.51497,1.08791,0.0018224,0.0018224,0.0018224
80,7215.68,0.96176,0.50832,1.02759,0.90057,0.90244,0.94476,0.71308,1.06681,0.51443,1.08418,0.0017432,0.0017432,0.0017432
81,7305.8,0.94976,0.50245,1.0205,0.89713,0.90388,0.93873,0.71284,1.06856,0.51301,1.08421,0.001664,0.001664,0.001664
82,7395.99,0.94583,0.50048,1.01926,0.90049,0.91461,0.94616,0.71679,1.06493,0.50765,1.08467,0.0015848,0.0015848,0.0015848
